Title,Author,Year,Rating,Price
A Light in the Attic,Various Authors,2024,3,51.77
Tipping the Velvet,Various Authors,2024,1,53.74
Soumission,Various Authors,2024,1,50.1
Sharp Objects,Various Authors,2024,4,47.82
Sapiens: A Brief History of Humankind,Various Authors,2024,5,54.23
The Requiem Red,Various Authors,2024,1,22.65
The Dirty Little Secrets of Getting Your Dream Job,Various Authors,2024,4,33.34
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Various Authors,2024,3,17.93
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Various Authors,2024,4,22.6
The Black Maria,Various Authors,2024,1,52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",Various Authors,2024,2,13.99
Shakespeare's Sonnets,Various Authors,2024,4,20.66
Set Me Free,Various Authors,2024,5,17.46
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Various Authors,2024,5,52.29
Rip it Up and Start Again,Various Authors,2024,5,35.02
